Policy Name,Mean,Median,Upper Q,Lower Q,IQR,Upper W,Lower W,Average Ranking,Percentage Matching SWIM
egreedy-0.2,0.22746913304240046,0.23352109545247146,0.26799188948872715,0.19315830771739848,0.07483358177132868,0.3165888236688157,0.10003514997944829,8.833333333333334,10.0%
egreedy-0.4,0.23132192762889844,0.24696858543105893,0.2654562173592495,0.20765706924371122,0.057799148115538296,0.329379983683677,0.12327614446276691,8.6,10.0%
egreedy-0.6,0.2449178520612812,0.24237609328862547,0.2808457991635093,0.2072427542524119,0.07360304491109743,0.3609490067441872,0.1099559757811865,7.866666666666666,0.0%
egreedy-0.8,0.24432717997311945,0.24917465483430776,0.28182963445155823,0.2127197285029262,0.06910990594863203,0.36155393510852085,0.1343305708504434,7.366666666666666,3.3333333333333335%
egreedy-1.0,0.23507391272952183,0.23564222679693952,0.2868411277246312,0.18789383300328164,0.09894729472134958,0.3469098715864779,0.13716862672018337,9.133333333333333,10.0%
UCB-TN,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,3.6666666666666665,13.333333333333334%
EXP3-333,0.2137595728275477,0.2244911553368229,0.27147677232173884,0.17537824889090214,0.09609852343083669,0.4080907850818798,0.11159586652767668,9.2,3.3333333333333335%
DUCB-0.89,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,4.666666666666667,0.0%
DUCB-0.92,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,5.666666666666667,0.0%
DUCB-0.95,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,6.666666666666667,0.0%
DUCB-0.97,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,7.666666666666667,13.333333333333334%
DUCB-0.99,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,8.666666666666666,16.666666666666664%
DUCB-0.992,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,9.666666666666666,13.333333333333334%
DUCB-0.995,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,10.666666666666666,0.0%
DUCB-0.997,0.2522002321744313,0.24991522200266839,0.2920529992012128,0.21730441667654754,0.07474858252466526,0.3233881635889548,0.14766812127836354,11.666666666666666,0.0%
