Policy Name,Mean,Median,Upper Q,Lower Q,IQR,Upper W,Lower W,Average Ranking,Percentage Matching SWIM
egreedy-0.2,0.38204634557749345,0.3689913422961398,0.41606477240164225,0.3400787433403047,0.07598602906133756,0.44628120663176335,0.24859975184670172,1.5333333333333334,16.666666666666664%
egreedy-0.4,0.3119444399424077,0.32134115982045774,0.3706720646116425,0.2800821056025068,0.09058995900913569,0.42139541565245725,0.22046152099144564,2.2666666666666666,0.0%
egreedy-0.6,0.29073351470409237,0.28642760878848844,0.3306789273181579,0.23233389772442928,0.09834502959372862,0.40305756449677693,0.1705104146031839,2.933333333333333,0.0%
egreedy-0.8,0.23338425637990587,0.2335440212286341,0.2753811065143411,0.18404230567007623,0.09133880084426488,0.36565244197185226,0.09987464409671071,3.9,0.0%
egreedy-1.0,0.17553413513806132,0.1826317503392823,0.22089218433885716,0.14190695788384952,0.07898522645500763,0.33532043116976973,0.08724362768175953,5.533333333333333,0.0%
UCB-TN,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,6.966666666666667,0.0%
EXP3-333,0.18621199042845732,0.18744059804017968,0.215370736992392,0.15286721575500858,0.06250352123738342,0.2567717169671961,0.10329771431621462,5.133333333333334,40.0%
DUCB-0.89,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,7.966666666666667,0.0%
DUCB-0.92,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,8.966666666666667,0.0%
DUCB-0.95,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,9.966666666666667,0.0%
DUCB-0.97,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,10.966666666666667,96.66666666666667%
DUCB-0.99,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,11.966666666666667,0.0%
DUCB-0.992,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,12.966666666666667,0.0%
DUCB-0.995,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,13.966666666666667,0.0%
DUCB-0.997,0.09693728996243807,0.09676261458678295,0.1007150455983373,0.0935908595940974,0.007124186004239905,0.1057498631024766,0.08597452712752607,14.966666666666667,0.0%
